Exporting Country,Year,Exports in Millions,Importing Country
Oman,1999,,Bahrain
Sweden,1999,,Bahrain
Turkey,1999,,Bahrain
UAE,1999,,Bahrain
United Kingdom,1999,,Bahrain
United States,1999,,Bahrain
Belgium,2000,,Bahrain
China,2000,,Bahrain
France,2000,,Bahrain
Germany (FRG),2000,,Bahrain
Malta,2000,,Bahrain
Netherlands,2000,,Bahrain
Oman,2000,,Bahrain
Sweden,2000,,Bahrain
Turkey,2000,,Bahrain
UAE,2000,,Bahrain
United Kingdom,2000,,Bahrain
United States,2000,299,Bahrain
Belgium,2001,,Bahrain
China,2001,,Bahrain
France,2001,,Bahrain
Germany (FRG),2001,,Bahrain
Malta,2001,,Bahrain
Netherlands,2001,,Bahrain
Oman,2001,,Bahrain
Sweden,2001,,Bahrain
Turkey,2001,,Bahrain
UAE,2001,,Bahrain
United Kingdom,2001,25,Bahrain
United States,2001,5,Bahrain
Belgium,2002,,Bahrain
China,2002,,Bahrain
France,2002,,Bahrain
Germany (FRG),2002,,Bahrain
Malta,2002,,Bahrain
Netherlands,2002,,Bahrain
Oman,2002,,Bahrain
Sweden,2002,,Bahrain
Turkey,2002,,Bahrain
UAE,2002,,Bahrain
United Kingdom,2002,,Bahrain
United States,2002,54,Bahrain
Belgium,2003,,Bahrain
China,2003,,Bahrain
France,2003,,Bahrain
Germany (FRG),2003,,Bahrain
Malta,2003,,Bahrain
Netherlands,2003,,Bahrain
Oman,2003,,Bahrain
Sweden,2003,,Bahrain
Turkey,2003,,Bahrain
UAE,2003,,Bahrain
United Kingdom,2003,0,Bahrain
United States,2003,1,Bahrain
Belgium,2004,,Bahrain
China,2004,,Bahrain
France,2004,,Bahrain
Germany (FRG),2004,,Bahrain
Malta,2004,10,Bahrain
Netherlands,2004,,Bahrain
Oman,2004,,Bahrain
Sweden,2004,,Bahrain
Turkey,2004,,Bahrain
UAE,2004,,Bahrain
United Kingdom,2004,,Bahrain
United States,2004,,Bahrain
Belgium,2005,,Bahrain
China,2005,,Bahrain
France,2005,,Bahrain
Germany (FRG),2005,,Bahrain
Malta,2005,,Bahrain
Netherlands,2005,,Bahrain
Oman,2005,1,Bahrain
Sweden,2005,,Bahrain
Turkey,2005,3,Bahrain
UAE,2005,,Bahrain
United Kingdom,2005,,Bahrain
United States,2005,63,Bahrain
Belgium,2006,,Bahrain
China,2006,,Bahrain
France,2006,,Bahrain
Germany (FRG),2006,,Bahrain
Malta,2006,,Bahrain
Netherlands,2006,,Bahrain
Oman,2006,,Bahrain
Sweden,2006,,Bahrain
Turkey,2006,,Bahrain
UAE,2006,,Bahrain
United Kingdom,2006,60,Bahrain
United States,2006,3,Bahrain
Belgium,2007,,Bahrain
China,2007,,Bahrain
France,2007,,Bahrain
Germany (FRG),2007,,Bahrain
Malta,2007,,Bahrain
Netherlands,2007,,Bahrain
Oman,2007,,Bahrain
Sweden,2007,,Bahrain
Turkey,2007,,Bahrain
UAE,2007,,Bahrain
United Kingdom,2007,,Bahrain
United States,2007,26,Bahrain
Belgium,2008,16,Bahrain
China,2008,,Bahrain
France,2008,,Bahrain
Germany (FRG),2008,,Bahrain
Malta,2008,,Bahrain
Netherlands,2008,,Bahrain
Oman,2008,,Bahrain
Sweden,2008,,Bahrain
Turkey,2008,2,Bahrain
UAE,2008,,Bahrain
United Kingdom,2008,,Bahrain
United States,2008,2,Bahrain
Belgium,2009,,Bahrain
China,2009,,Bahrain
France,2009,,Bahrain
Germany (FRG),2009,,Bahrain
Malta,2009,,Bahrain
Netherlands,2009,,Bahrain
Oman,2009,,Bahrain
Sweden,2009,,Bahrain
Turkey,2009,,Bahrain
UAE,2009,,Bahrain
United Kingdom,2009,,Bahrain
United States,2009,,Bahrain
Belgium,2010,,Bahrain
China,2010,,Bahrain
France,2010,17,Bahrain
Germany (FRG),2010,,Bahrain
Malta,2010,,Bahrain
Netherlands,2010,,Bahrain
Oman,2010,,Bahrain
Sweden,2010,,Bahrain
Turkey,2010,4,Bahrain
UAE,2010,15,Bahrain
United Kingdom,2010,,Bahrain
United States,2010,68,Bahrain
Belgium,2011,,Bahrain
China,2011,,Bahrain
France,2011,1,Bahrain
Germany (FRG),2011,,Bahrain
Malta,2011,,Bahrain
Netherlands,2011,,Bahrain
Oman,2011,,Bahrain
Sweden,2011,,Bahrain
Turkey,2011,,Bahrain
UAE,2011,,Bahrain
United Kingdom,2011,,Bahrain
United States,2011,,Bahrain
Belgium,2012,,Bahrain
China,2012,,Bahrain
France,2012,1,Bahrain
Germany (FRG),2012,,Bahrain
Malta,2012,,Bahrain
Netherlands,2012,,Bahrain
Oman,2012,,Bahrain
Sweden,2012,,Bahrain
Turkey,2012,25,Bahrain
UAE,2012,,Bahrain
United Kingdom,2012,,Bahrain
United States,2012,,Bahrain
Belgium,2013,,Bahrain
China,2013,,Bahrain
France,2013,1,Bahrain
Germany (FRG),2013,,Bahrain
Malta,2013,,Bahrain
Netherlands,2013,,Bahrain
Oman,2013,,Bahrain
Sweden,2013,,Bahrain
Turkey,2013,11,Bahrain
UAE,2013,,Bahrain
United Kingdom,2013,,Bahrain
United States,2013,60,Bahrain
Belgium,2014,,Bahrain
China,2014,,Bahrain
France,2014,1,Bahrain
Germany (FRG),2014,,Bahrain
Malta,2014,,Bahrain
Netherlands,2014,,Bahrain
Oman,2014,,Bahrain
Sweden,2014,,Bahrain
Turkey,2014,,Bahrain
UAE,2014,,Bahrain
United Kingdom,2014,,Bahrain
United States,2014,,Bahrain
Belgium,2015,2,Bahrain
China,2015,,Bahrain
France,2015,,Bahrain
Germany (FRG),2015,,Bahrain
Malta,2015,,Bahrain
Netherlands,2015,,Bahrain
Oman,2015,,Bahrain
Sweden,2015,,Bahrain
Turkey,2015,,Bahrain
UAE,2015,,Bahrain
United Kingdom,2015,,Bahrain
United States,2015,15,Bahrain
Belgium,2016,3,Bahrain
China,2016,4,Bahrain
France,2016,,Bahrain
Germany (FRG),2016,,Bahrain
Malta,2016,,Bahrain
Netherlands,2016,,Bahrain
Oman,2016,,Bahrain
Sweden,2016,,Bahrain
Turkey,2016,,Bahrain
UAE,2016,,Bahrain
United Kingdom,2016,,Bahrain
United States,2016,,Bahrain
Austria,1988,,Egypt
Brazil,1988,8,Egypt
Bulgaria,1988,,Egypt
Canada,1988,3,Egypt
China,1988,28,Egypt
Czech Republic,1988,,Egypt
Finland,1988,,Egypt
France,1988,49,Egypt
Germany (FRG),1988,10,Egypt
Italy,1988,,Egypt
Libya,1988,,Egypt
Montenegro,1988,,Egypt
Netherlands,1988,,Egypt
Russia,1988,,Egypt
Slovakia,1988,,Egypt
South Africa,1988,,Egypt
Spain,1988,,Egypt
Turkey,1988,,Egypt
UAE,1988,,Egypt
Ukraine,1988,,Egypt
United Kingdom,1988,15,Egypt
United States,1988,306,Egypt
Austria,1989,,Egypt
Brazil,1989,,Egypt
Bulgaria,1989,,Egypt
Canada,1989,,Egypt
China,1989,28,Egypt
Czech Republic,1989,,Egypt
Finland,1989,,Egypt
France,1989,34,Egypt
Germany (FRG),1989,10,Egypt
Italy,1989,,Egypt
Libya,1989,,Egypt
Montenegro,1989,,Egypt
Netherlands,1989,,Egypt
Russia,1989,,Egypt
Slovakia,1989,,Egypt
South Africa,1989,,Egypt
Spain,1989,,Egypt
Turkey,1989,,Egypt
UAE,1989,,Egypt
Ukraine,1989,,Egypt
United Kingdom,1989,18,Egypt
United States,1989,205,Egypt
Austria,1990,,Egypt
Brazil,1990,23,Egypt
Bulgaria,1990,,Egypt
Canada,1990,8,Egypt
China,1990,28,Egypt
Czech Republic,1990,,Egypt
Finland,1990,,Egypt
France,1990,33,Egypt
Germany (FRG),1990,10,Egypt
Italy,1990,,Egypt
Libya,1990,20,Egypt
Montenegro,1990,,Egypt
Netherlands,1990,,Egypt
Russia,1990,,Egypt
Slovakia,1990,,Egypt
South Africa,1990,,Egypt
Spain,1990,,Egypt
Turkey,1990,,Egypt
UAE,1990,,Egypt
Ukraine,1990,,Egypt
United Kingdom,1990,10,Egypt
United States,1990,430,Egypt
Austria,1991,,Egypt
Brazil,1991,,Egypt
Bulgaria,1991,,Egypt
Canada,1991,,Egypt
China,1991,28,Egypt
Czech Republic,1991,,Egypt
Finland,1991,,Egypt
France,1991,,Egypt
Germany (FRG),1991,11,Egypt
Italy,1991,,Egypt
Libya,1991,,Egypt
Montenegro,1991,,Egypt
Netherlands,1991,,Egypt
Russia,1991,,Egypt
Slovakia,1991,,Egypt
South Africa,1991,,Egypt
Spain,1991,,Egypt
Turkey,1991,,Egypt
UAE,1991,,Egypt
Ukraine,1991,,Egypt
United Kingdom,1991,10,Egypt
United States,1991,841,Egypt
Austria,1992,,Egypt
Brazil,1992,,Egypt
Bulgaria,1992,,Egypt
Canada,1992,,Egypt
China,1992,28,Egypt
Czech Republic,1992,,Egypt
Finland,1992,,Egypt
France,1992,,Egypt
Germany (FRG),1992,10,Egypt
Italy,1992,,Egypt
Libya,1992,,Egypt
Montenegro,1992,,Egypt
Netherlands,1992,,Egypt
Russia,1992,3,Egypt
Slovakia,1992,,Egypt
South Africa,1992,,Egypt
Spain,1992,,Egypt
Turkey,1992,,Egypt
UAE,1992,,Egypt
Ukraine,1992,,Egypt
United Kingdom,1992,8,Egypt
United States,1992,929,Egypt
Austria,1993,,Egypt
Brazil,1993,,Egypt
Bulgaria,1993,,Egypt
Canada,1993,,Egypt
China,1993,36,Egypt
Czech Republic,1993,163,Egypt
Finland,1993,,Egypt
France,1993,,Egypt
Germany (FRG),1993,10,Egypt
Italy,1993,,Egypt
Libya,1993,,Egypt
Montenegro,1993,,Egypt
Netherlands,1993,,Egypt
Russia,1993,8,Egypt
Slovakia,1993,25,Egypt
South Africa,1993,,Egypt
Spain,1993,,Egypt
Turkey,1993,,Egypt
UAE,1993,,Egypt
Ukraine,1993,,Egypt
United Kingdom,1993,8,Egypt
United States,1993,1007,Egypt
Austria,1994,,Egypt
Brazil,1994,,Egypt
Bulgaria,1994,,Egypt
Canada,1994,,Egypt
China,1994,28,Egypt
Czech Republic,1994,150,Egypt
Finland,1994,,Egypt
France,1994,,Egypt
Germany (FRG),1994,10,Egypt
Italy,1994,,Egypt
Libya,1994,,Egypt
Montenegro,1994,,Egypt
Netherlands,1994,,Egypt
Russia,1994,16,Egypt
Slovakia,1994,23,Egypt
South Africa,1994,,Egypt
Spain,1994,,Egypt
Turkey,1994,,Egypt
UAE,1994,,Egypt
Ukraine,1994,,Egypt
United Kingdom,1994,,Egypt
United States,1994,1794,Egypt
Austria,1995,,Egypt
Brazil,1995,,Egypt
Bulgaria,1995,,Egypt
Canada,1995,,Egypt
China,1995,28,Egypt
Czech Republic,1995,7,Egypt
Finland,1995,,Egypt
France,1995,,Egypt
Germany (FRG),1995,10,Egypt
Italy,1995,,Egypt
Libya,1995,,Egypt
Montenegro,1995,,Egypt
Netherlands,1995,15,Egypt
Russia,1995,11,Egypt
Slovakia,1995,1,Egypt
South Africa,1995,,Egypt
Spain,1995,,Egypt
Turkey,1995,,Egypt
UAE,1995,,Egypt
Ukraine,1995,,Egypt
United Kingdom,1995,,Egypt
United States,1995,1644,Egypt
Austria,1996,,Egypt
Brazil,1996,,Egypt
Bulgaria,1996,,Egypt
Canada,1996,,Egypt
China,1996,,Egypt
Czech Republic,1996,1,Egypt
Finland,1996,,Egypt
France,1996,,Egypt
Germany (FRG),1996,10,Egypt
Italy,1996,,Egypt
Libya,1996,,Egypt
Montenegro,1996,,Egypt
Netherlands,1996,208,Egypt
Russia,1996,5,Egypt
Slovakia,1996,,Egypt
South Africa,1996,,Egypt
Spain,1996,,Egypt
Turkey,1996,,Egypt
UAE,1996,,Egypt
Ukraine,1996,,Egypt
United Kingdom,1996,,Egypt
United States,1996,769,Egypt
Austria,1997,,Egypt
Brazil,1997,,Egypt
Bulgaria,1997,,Egypt
Canada,1997,,Egypt
China,1997,,Egypt
Czech Republic,1997,1,Egypt
Finland,1997,,Egypt
France,1997,,Egypt
Germany (FRG),1997,10,Egypt
Italy,1997,,Egypt
Libya,1997,,Egypt
Montenegro,1997,,Egypt
Netherlands,1997,4,Egypt
Russia,1997,140,Egypt
Slovakia,1997,,Egypt
South Africa,1997,,Egypt
Spain,1997,,Egypt
Turkey,1997,,Egypt
UAE,1997,,Egypt
Ukraine,1997,,Egypt
United Kingdom,1997,,Egypt
United States,1997,895,Egypt
Austria,1998,,Egypt
Brazil,1998,,Egypt
Bulgaria,1998,,Egypt
Canada,1998,,Egypt
China,1998,,Egypt
Czech Republic,1998,,Egypt
Finland,1998,,Egypt
France,1998,1,Egypt
Germany (FRG),1998,10,Egypt
Italy,1998,,Egypt
Libya,1998,,Egypt
Montenegro,1998,,Egypt
Netherlands,1998,,Egypt
Russia,1998,,Egypt
Slovakia,1998,,Egypt
South Africa,1998,,Egypt
Spain,1998,,Egypt
Turkey,1998,,Egypt
UAE,1998,,Egypt
Ukraine,1998,,Egypt
United Kingdom,1998,,Egypt
United States,1998,457,Egypt
Austria,1999,,Egypt
Brazil,1999,,Egypt
Bulgaria,1999,,Egypt
Canada,1999,,Egypt
China,1999,,Egypt
Czech Republic,1999,,Egypt
Finland,1999,,Egypt
France,1999,1,Egypt
Germany (FRG),1999,10,Egypt
Italy,1999,,Egypt
Libya,1999,,Egypt
Montenegro,1999,,Egypt
Netherlands,1999,,Egypt
Russia,1999,47,Egypt
Slovakia,1999,,Egypt
South Africa,1999,,Egypt
Spain,1999,,Egypt
Turkey,1999,,Egypt
UAE,1999,,Egypt
Ukraine,1999,,Egypt
United Kingdom,1999,,Egypt
United States,1999,455,Egypt
Austria,2000,,Egypt
Brazil,2000,,Egypt
Bulgaria,2000,,Egypt
Canada,2000,,Egypt
China,2000,,Egypt
Czech Republic,2000,,Egypt
Finland,2000,1,Egypt
France,2000,1,Egypt
Germany (FRG),2000,12,Egypt
Italy,2000,,Egypt
Libya,2000,,Egypt
Montenegro,2000,,Egypt
Netherlands,2000,,Egypt
Russia,2000,,Egypt
Slovakia,2000,,Egypt
South Africa,2000,,Egypt
Spain,2000,,Egypt
Turkey,2000,,Egypt
UAE,2000,,Egypt
Ukraine,2000,,Egypt
United Kingdom,2000,,Egypt
United States,2000,823,Egypt
Austria,2001,,Egypt
Brazil,2001,,Egypt
Bulgaria,2001,,Egypt
Canada,2001,,Egypt
China,2001,18,Egypt
Czech Republic,2001,,Egypt
Finland,2001,1,Egypt
France,2001,,Egypt
Germany (FRG),2001,20,Egypt
Italy,2001,,Egypt
Libya,2001,,Egypt
Montenegro,2001,,Egypt
Netherlands,2001,,Egypt
Russia,2001,,Egypt
Slovakia,2001,,Egypt
South Africa,2001,,Egypt
Spain,2001,,Egypt
Turkey,2001,,Egypt
UAE,2001,,Egypt
Ukraine,2001,,Egypt
United Kingdom,2001,,Egypt
United States,2001,809,Egypt
Austria,2002,79,Egypt
Brazil,2002,,Egypt
Bulgaria,2002,,Egypt
Canada,2002,,Egypt
China,2002,67,Egypt
Czech Republic,2002,,Egypt
Finland,2002,2,Egypt
France,2002,,Egypt
Germany (FRG),2002,35,Egypt
Italy,2002,,Egypt
Libya,2002,,Egypt
Montenegro,2002,,Egypt
Netherlands,2002,,Egypt
Russia,2002,60,Egypt
Slovakia,2002,,Egypt
South Africa,2002,,Egypt
Spain,2002,,Egypt
Turkey,2002,,Egypt
UAE,2002,,Egypt
Ukraine,2002,,Egypt
United Kingdom,2002,,Egypt
United States,2002,477,Egypt
Austria,2003,,Egypt
Brazil,2003,,Egypt
Bulgaria,2003,,Egypt
Canada,2003,,Egypt
China,2003,88,Egypt
Czech Republic,2003,,Egypt
Finland,2003,6,Egypt
France,2003,,Egypt
Germany (FRG),2003,131,Egypt
Italy,2003,,Egypt
Libya,2003,,Egypt
Montenegro,2003,,Egypt
Netherlands,2003,,Egypt
Russia,2003,60,Egypt
Slovakia,2003,,Egypt
South Africa,2003,,Egypt
Spain,2003,,Egypt
Turkey,2003,,Egypt
UAE,2003,,Egypt
Ukraine,2003,,Egypt
United Kingdom,2003,,Egypt
United States,2003,345,Egypt
Austria,2004,,Egypt
Brazil,2004,,Egypt
Bulgaria,2004,,Egypt
Canada,2004,,Egypt
China,2004,88,Egypt
Czech Republic,2004,,Egypt
Finland,2004,6,Egypt
France,2004,,Egypt
Germany (FRG),2004,1,Egypt
Italy,2004,,Egypt
Libya,2004,,Egypt
Montenegro,2004,,Egypt
Netherlands,2004,,Egypt
Russia,2004,60,Egypt
Slovakia,2004,,Egypt
South Africa,2004,,Egypt
Spain,2004,,Egypt
Turkey,2004,,Egypt
UAE,2004,,Egypt
Ukraine,2004,,Egypt
United Kingdom,2004,,Egypt
United States,2004,500,Egypt
Austria,2005,,Egypt
Brazil,2005,,Egypt
Bulgaria,2005,,Egypt
Canada,2005,,Egypt
China,2005,21,Egypt
Czech Republic,2005,,Egypt
Finland,2005,,Egypt
France,2005,,Egypt
Germany (FRG),2005,9,Egypt
Italy,2005,,Egypt
Libya,2005,,Egypt
Montenegro,2005,,Egypt
Netherlands,2005,,Egypt
Russia,2005,135,Egypt
Slovakia,2005,,Egypt
South Africa,2005,,Egypt
Spain,2005,,Egypt
Turkey,2005,,Egypt
UAE,2005,,Egypt
Ukraine,2005,26,Egypt
United Kingdom,2005,,Egypt
United States,2005,588,Egypt
Austria,2006,,Egypt
Brazil,2006,,Egypt
Bulgaria,2006,,Egypt
Canada,2006,,Egypt
China,2006,,Egypt
Czech Republic,2006,,Egypt
Finland,2006,68,Egypt
France,2006,,Egypt
Germany (FRG),2006,9,Egypt
Italy,2006,,Egypt
Libya,2006,,Egypt
Montenegro,2006,71,Egypt
Netherlands,2006,42,Egypt
Russia,2006,60,Egypt
Slovakia,2006,,Egypt
South Africa,2006,,Egypt
Spain,2006,,Egypt
Turkey,2006,,Egypt
UAE,2006,,Egypt
Ukraine,2006,,Egypt
United Kingdom,2006,,Egypt
United States,2006,453,Egypt
Austria,2007,,Egypt
Brazil,2007,,Egypt
Bulgaria,2007,,Egypt
Canada,2007,,Egypt
China,2007,35,Egypt
Czech Republic,2007,,Egypt
Finland,2007,,Egypt
France,2007,,Egypt
Germany (FRG),2007,9,Egypt
Italy,2007,,Egypt
Libya,2007,,Egypt
Montenegro,2007,109,Egypt
Netherlands,2007,67,Egypt
Russia,2007,60,Egypt
Slovakia,2007,,Egypt
South Africa,2007,,Egypt
Spain,2007,,Egypt
Turkey,2007,,Egypt
UAE,2007,,Egypt
Ukraine,2007,,Egypt
United Kingdom,2007,,Egypt
United States,2007,396,Egypt
Austria,2008,,Egypt
Brazil,2008,,Egypt
Bulgaria,2008,,Egypt
Canada,2008,,Egypt
China,2008,35,Egypt
Czech Republic,2008,,Egypt
Finland,2008,,Egypt
France,2008,,Egypt
Germany (FRG),2008,9,Egypt
Italy,2008,,Egypt
Libya,2008,,Egypt
Montenegro,2008,,Egypt
Netherlands,2008,26,Egypt
Russia,2008,,Egypt
Slovakia,2008,,Egypt
South Africa,2008,,Egypt
Spain,2008,,Egypt
Turkey,2008,,Egypt
UAE,2008,,Egypt
Ukraine,2008,,Egypt
United Kingdom,2008,,Egypt
United States,2008,263,Egypt
Austria,2009,,Egypt
Brazil,2009,,Egypt
Bulgaria,2009,,Egypt
Canada,2009,,Egypt
China,2009,35,Egypt
Czech Republic,2009,,Egypt
Finland,2009,,Egypt
France,2009,,Egypt
Germany (FRG),2009,9,Egypt
Italy,2009,,Egypt
Libya,2009,,Egypt
Montenegro,2009,,Egypt
Netherlands,2009,,Egypt
Russia,2009,8,Egypt
Slovakia,2009,,Egypt
South Africa,2009,,Egypt
Spain,2009,,Egypt
Turkey,2009,,Egypt
UAE,2009,,Egypt
Ukraine,2009,26,Egypt
United Kingdom,2009,,Egypt
United States,2009,82,Egypt
Austria,2010,,Egypt
Brazil,2010,,Egypt
Bulgaria,2010,,Egypt
Canada,2010,,Egypt
China,2010,35,Egypt
Czech Republic,2010,,Egypt
Finland,2010,,Egypt
France,2010,,Egypt
Germany (FRG),2010,9,Egypt
Italy,2010,,Egypt
Libya,2010,,Egypt
Montenegro,2010,,Egypt
Netherlands,2010,,Egypt
Russia,2010,367,Egypt
Slovakia,2010,,Egypt
South Africa,2010,,Egypt
Spain,2010,,Egypt
Turkey,2010,,Egypt
UAE,2010,,Egypt
Ukraine,2010,26,Egypt
United Kingdom,2010,,Egypt
United States,2010,249,Egypt
Austria,2011,,Egypt
Brazil,2011,,Egypt
Bulgaria,2011,,Egypt
Canada,2011,6,Egypt
China,2011,,Egypt
Czech Republic,2011,,Egypt
Finland,2011,,Egypt
France,2011,,Egypt
Germany (FRG),2011,9,Egypt
Italy,2011,,Egypt
Libya,2011,,Egypt
Montenegro,2011,,Egypt
Netherlands,2011,,Egypt
Russia,2011,416,Egypt
Slovakia,2011,,Egypt
South Africa,2011,,Egypt
Spain,2011,36,Egypt
Turkey,2011,4,Egypt
UAE,2011,,Egypt
Ukraine,2011,,Egypt
United Kingdom,2011,,Egypt
United States,2011,160,Egypt
Austria,2012,,Egypt
Brazil,2012,,Egypt
Bulgaria,2012,,Egypt
Canada,2012,2,Egypt
China,2012,1,Egypt
Czech Republic,2012,,Egypt
Finland,2012,,Egypt
France,2012,4,Egypt
Germany (FRG),2012,9,Egypt
Italy,2012,12,Egypt
Libya,2012,,Egypt
Montenegro,2012,,Egypt
Netherlands,2012,,Egypt
Russia,2012,68,Egypt
Slovakia,2012,,Egypt
South Africa,2012,,Egypt
Spain,2012,,Egypt
Turkey,2012,8,Egypt
UAE,2012,,Egypt
Ukraine,2012,,Egypt
United Kingdom,2012,,Egypt
United States,2012,177,Egypt
Austria,2013,,Egypt
Brazil,2013,,Egypt
Bulgaria,2013,,Egypt
Canada,2013,10,Egypt
China,2013,1,Egypt
Czech Republic,2013,,Egypt
Finland,2013,,Egypt
France,2013,41,Egypt
Germany (FRG),2013,25,Egypt
Italy,2013,6,Egypt
Libya,2013,,Egypt
Montenegro,2013,,Egypt
Netherlands,2013,12,Egypt
Russia,2013,27,Egypt
Slovakia,2013,,Egypt
South Africa,2013,,Egypt
Spain,2013,60,Egypt
Turkey,2013,,Egypt
UAE,2013,,Egypt
Ukraine,2013,,Egypt
United Kingdom,2013,,Egypt
United States,2013,494,Egypt
Austria,2014,,Egypt
Brazil,2014,,Egypt
Bulgaria,2014,0,Egypt
Canada,2014,8,Egypt
China,2014,1,Egypt
Czech Republic,2014,,Egypt
Finland,2014,,Egypt
France,2014,17,Egypt
Germany (FRG),2014,23,Egypt
Italy,2014,,Egypt
Libya,2014,,Egypt
Montenegro,2014,,Egypt
Netherlands,2014,,Egypt
Russia,2014,75,Egypt
Slovakia,2014,,Egypt
South Africa,2014,2,Egypt
Spain,2014,48,Egypt
Turkey,2014,,Egypt
UAE,2014,4,Egypt
Ukraine,2014,,Egypt
United Kingdom,2014,,Egypt
United States,2014,182,Egypt
Austria,2015,,Egypt
Brazil,2015,,Egypt
Bulgaria,2015,,Egypt
Canada,2015,8,Egypt
China,2015,,Egypt
Czech Republic,2015,,Egypt
Finland,2015,,Egypt
France,2015,697,Egypt
Germany (FRG),2015,26,Egypt
Italy,2015,8,Egypt
Libya,2015,,Egypt
Montenegro,2015,,Egypt
Netherlands,2015,12,Egypt
Russia,2015,6,Egypt
Slovakia,2015,3,Egypt
South Africa,2015,,Egypt
Spain,2015,48,Egypt
Turkey,2015,,Egypt
UAE,2015,4,Egypt
Ukraine,2015,,Egypt
United Kingdom,2015,,Egypt
United States,2015,593,Egypt
Austria,2016,,Egypt
Brazil,2016,,Egypt
Bulgaria,2016,,Egypt
Canada,2016,16,Egypt
China,2016,,Egypt
Czech Republic,2016,,Egypt
Finland,2016,18,Egypt
France,2016,908,Egypt
Germany (FRG),2016,170,Egypt
Italy,2016,,Egypt
Libya,2016,,Egypt
Montenegro,2016,,Egypt
Netherlands,2016,,Egypt
Russia,2016,37,Egypt
Slovakia,2016,,Egypt
South Africa,2016,,Egypt
Spain,2016,96,Egypt
Turkey,2016,,Egypt
UAE,2016,,Egypt
Ukraine,2016,,Egypt
United Kingdom,2016,,Egypt
United States,2016,238,Egypt
Belarus,1988,,Iran
Brazil,1988,,Iran
Canada,1988,,Iran
China,1988,184,Iran
East Germany (GDR),1988,,Iran
France,1988,,Iran
Netherlands,1988,15,Iran
North Korea,1988,189,Iran
Pakistan,1988,,Iran
Poland,1988,,Iran
Russia,1988,,Iran
Soviet Union,1988,90,Iran
Ukraine,1988,,Iran
Belarus,1989,,Iran
Brazil,1989,3,Iran
Canada,1989,1,Iran
China,1989,60,Iran
East Germany (GDR),1989,8,Iran
France,1989,,Iran
Netherlands,1989,15,Iran
North Korea,1989,14,Iran
Pakistan,1989,1,Iran
Poland,1989,,Iran
Russia,1989,,Iran
Soviet Union,1989,90,Iran
Ukraine,1989,,Iran
Belarus,1990,,Iran
Brazil,1990,5,Iran
Canada,1990,2,Iran
China,1990,87,Iran
East Germany (GDR),1990,,Iran
France,1990,,Iran
Netherlands,1990,15,Iran
North Korea,1990,4,Iran
Pakistan,1990,2,Iran
Poland,1990,,Iran
Russia,1990,,Iran
Soviet Union,1990,339,Iran
Ukraine,1990,,Iran
Belarus,1991,,Iran
Brazil,1991,33,Iran
Canada,1991,12,Iran
China,1991,96,Iran
East Germany (GDR),1991,,Iran
France,1991,,Iran
Netherlands,1991,15,Iran
North Korea,1991,92,Iran
Pakistan,1991,3,Iran
Poland,1991,,Iran
Russia,1991,,Iran
Soviet Union,1991,772,Iran
Ukraine,1991,,Iran
Belarus,1992,,Iran
Brazil,1992,,Iran
Canada,1992,,Iran
China,1992,103,Iran
East Germany (GDR),1992,,Iran
France,1992,,Iran
Netherlands,1992,,Iran
North Korea,1992,109,Iran
Pakistan,1992,,Iran
Poland,1992,,Iran
Russia,1992,220,Iran
Soviet Union,1992,,Iran
Ukraine,1992,,Iran
Belarus,1993,,Iran
Brazil,1993,,Iran
Canada,1993,,Iran
China,1993,304,Iran
East Germany (GDR),1993,,Iran
France,1993,,Iran
Netherlands,1993,8,Iran
North Korea,1993,115,Iran
Pakistan,1993,,Iran
Poland,1993,,Iran
Russia,1993,559,Iran
Soviet Union,1993,,Iran
Ukraine,1993,2,Iran
Belarus,1994,,Iran
Brazil,1994,,Iran
Canada,1994,,Iran
China,1994,274,Iran
East Germany (GDR),1994,,Iran
France,1994,,Iran
Netherlands,1994,8,Iran
North Korea,1994,6,Iran
Pakistan,1994,,Iran
Poland,1994,83,Iran
Russia,1994,83,Iran
Soviet Union,1994,,Iran
Ukraine,1994,,Iran
Belarus,1995,,Iran
Brazil,1995,,Iran
Canada,1995,,Iran
China,1995,58,Iran
East Germany (GDR),1995,,Iran
France,1995,,Iran
Netherlands,1995,15,Iran
North Korea,1995,6,Iran
Pakistan,1995,,Iran
Poland,1995,171,Iran
Russia,1995,47,Iran
Soviet Union,1995,,Iran
Ukraine,1995,,Iran
Belarus,1996,,Iran
Brazil,1996,,Iran
Canada,1996,,Iran
China,1996,320,Iran
East Germany (GDR),1996,,Iran
France,1996,1,Iran
Netherlands,1996,,Iran
North Korea,1996,4,Iran
Pakistan,1996,,Iran
Poland,1996,,Iran
Russia,1996,289,Iran
Soviet Union,1996,,Iran
Ukraine,1996,,Iran
Belarus,1997,,Iran
Brazil,1997,,Iran
Canada,1997,,Iran
China,1997,54,Iran
East Germany (GDR),1997,,Iran
France,1997,,Iran
Netherlands,1997,,Iran
North Korea,1997,4,Iran
Pakistan,1997,,Iran
Poland,1997,,Iran
Russia,1997,119,Iran
Soviet Union,1997,,Iran
Ukraine,1997,,Iran
Belarus,1998,,Iran
Brazil,1998,,Iran
Canada,1998,,Iran
China,1998,70,Iran
East Germany (GDR),1998,,Iran
France,1998,,Iran
Netherlands,1998,,Iran
North Korea,1998,2,Iran
Pakistan,1998,,Iran
